状态,旧编号,新标签,资产类型,照片序号,源路径,目标路径,文件大小,操作类型,归档路径,执行时间,错误信息
成功,OLD004,AST-2024-004,document,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0003.png,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\document\OLD004\OLD004_0003.png,2026-06-05T15:38:23.546533,
成功,OLD004,AST-2024-004,document,4,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0004.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0004.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\document\OLD004\OLD004_0004.jpg,2026-06-05T15:38:23.547188,
成功,OLD004,AST-2024-004,document,5,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0005.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0005.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\document\OLD004\OLD004_0005.jpg,2026-06-05T15:38:23.548590,
成功,OLD005,AST-2024-005,other,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD005_misc\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\other\AST-2024-005\AST-2024-005_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\other\OLD005\OLD005_0001.jpg,2026-06-05T15:38:23.551517,
成功,OLD006,AST-2024-006,hardware,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD006_printer\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-006\AST-2024-006_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD006\OLD006_0001.jpg,2026-06-05T15:38:23.553542,
成功,OLD006,AST-2024-006,hardware,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD006_printer\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-006\AST-2024-006_0002.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD006\OLD006_0002.jpg,2026-06-05T15:38:23.555994,
成功,OLD007,AST-2024-007,hardware,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD007_keyboard\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-007\AST-2024-007_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD007\OLD007_0001.jpg,2026-06-05T15:38:23.557444,
成功,OLD007,AST-2024-007,hardware,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD007_keyboard\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-007\AST-2024-007_0002.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD007\OLD007_0002.jpg,2026-06-05T15:38:23.558862,
成功,OLD007,AST-2024-007,hardware,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD007_keyboard\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-007\AST-2024-007_0003.png,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD007\OLD007_0003.png,2026-06-05T15:38:23.561346,
成功,OLD008,AST-2024-008,hardware,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD008_mouse\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-008\AST-2024-008_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD008\OLD008_0001.jpg,2026-06-05T15:38:23.563336,
成功,OLD008,AST-2024-008,hardware,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD008_mouse\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-008\AST-2024-008_0002.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD008\OLD008_0002.jpg,2026-06-05T15:38:23.564809,
